adr_to_common_share_ratio,asset_uid,average_daily_volume_last_10_days,average_daily_volume_last_4_weeks,beta,buy_back_ttm,currency,current_ratio_mrq,diluted_eps_ttm,dividend_payout_ratio_fy,dividend_rate_ttm,dividend_yield_daily_ttm,dividends_per_share,domicile_indicator_code,ebitda_change_five_years,ebitda_ttm,eps_change_five_years,eps_ttm,ev_to_ebitda_mrq,ev_to_sales,ex_dividend_date,fiscal_period_end_date,fiscal_period_start_date,five_year_annual_dividend_growth_rate,five_year_annual_revenue_growth_rate,five_years_average_dividend_yield,fixed_charge_coverage_ratio_fy,forward_annual_dividend_yield,free_cash_flow_to_price,free_cash_flow_ttm,free_float,high_price_last_52_weeks,low_price_last_52_weeks,market_capitalization,net_debt_to_ebitda,net_income_ttm,net_interest_margin_mrq,net_margin_mrq,number_of_employees,one_year_annual_revenue_growth_rate,pe_ratio_ttm,price_to_book_ttm,price_to_free_cash_flow_ttm,price_to_sales_ttm,revenue_change_five_years,revenue_ttm,roa,roe,roic,shares_outstanding,three_year_annual_revenue_growth_rate,total_debt_change_five_years,total_debt_mrq,total_debt_to_ebitda_mrq,total_debt_to_equity_mrq,total_enterprise_value_mrq
0.0,60645779-5aad-45bb-972c-38e2af07542c,945586.67,1002295.42,0.68,0.0,RUB,0.0,0.0,49.39,10.5,11.1,10.5,,0.0,0.0,168.44,21.26,0.0,0.0,2025-12-19T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,7.58,0.0,0.0,0.0,0.0,0.3,141.06,91.7,52665454876.8,0.0,11840800000.0,0.0,0.0,0.0,0.0,4.45,0.97,0.0,0.0,0.0,0.0,4.32,23.66,0.0,556952780.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,41100a03-cb85-4496-8b74-957b2bdcd132,308091.33,275981.75,0.66,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,8156861000.0,0.0,51.38,12.61,0.0,2024-05-24T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,3.11,0.0,0.0,0.0,-4018062000.0,0.24,1868.0,930.8,81212445600.0,2.66,3172416000.0,0.0,12.37,0.0,10.1,25.6,7.26,-20.21,3.17,0.0,25646956000.0,7.6,30.24,0.0,71214000.0,51.19,0.0,24748779000.0,0.0,221.14,102870085600.0
0.0,bbe14e08-b318-49b3-8f3b-f0eea166a166,3564.44,3904.58,0.49,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-84.84,-178.15,0.0,0.0,2024-07-09T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,0.02,0.0,0.0,0.0,-1165137000.0,0.15,1992.0,982.0,13402365682.0,0.0,-1642131000.0,0.0,-6.93,0.0,15.78,0.0,1.31,-11.5,0.57,66.68,23682884000.0,-8.12,-16.41,0.0,9217583.0,15.4,809.67,2831239000.0,0.0,27.7,16179621682.0
0.0,033d81b1-1249-4a4b-80bd-fad02790d92b,468498.78,402686.46,0.41,0.0,RUB,0.0,0.0,0.0,44.51,8.76,44.51,,96.05,0.0,18.64,0.0,0.0,0.0,2025-10-13T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,10.74,0.0,0.0,0.0,0.0,0.05,676.0,452.0,2408580216612.0,0.0,0.0,0.0,0.0,0.0,16.47,0.0,0.76,0.0,0.0,64.96,0.0,8.28,16.01,0.0,4741299639.0,10.14,34.27,1123567000000.0,0.0,35.57,3346764216612.0
0.0,b272081b-48e2-4f7d-9465-f6a997475166,137544.44,101529.17,0.39,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,99.08,1.48,0.0,0.0,2007-11-09T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,387739000.0,0.0,27.0,17.8,2136229552.45,0.0,135488000.0,0.0,0.42,0.0,9.98,15.77,1.53,5.51,0.07,34.69,32189626000.0,2.05,10.11,0.0,91487347.0,6.82,10.05,3006190000.0,0.0,215.74,4794404552.45
0.0,f52b028c-d9ab-476f-b4c8-4cb00b776cf0,672.67,514.33,0.62,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-281.29,-3354.3,0.0,0.0,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,24091401000.0,0.0,7400.0,4100.0,14133983550.0,0.0,-10606176000.0,0.0,-6.55,0.0,6.58,0.0,0.25,0.59,0.09,53.09,161805160000.0,-3.96,-18.4,0.0,3161965.0,-0.79,0.97,150636681000.0,0.0,270.49,164754655550.0
0.0,55d43825-dcac-4914-bfdb-e20c110f68bf,197050000.0,147720833.33,0.62,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,55.24,11235447000.0,65.39,0.02,1.53,0.0,2020-06-08T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,6.09,0.0,0.0,0.0,6049996000.0,0.3,0.12,0.05,11489521480.4,0.51,2323753000.0,0.0,3.05,0.0,16.78,4.94,0.55,1.9,0.15,27.65,76207248000.0,3.37,11.66,0.0,95785923138.0,7.6,0.97,14263237000.0,0.0,68.23,17218202480.4
0.0,ed09a805-4a20-49d7-9818-d7fe0e84076c,3080483.33,1762916.25,0.53,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,14636000000.0,-103.02,0.03,6.11,0.0,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,2678000000.0,0.06,12.76,8.0,65972730859.6,1.6,249000000.0,0.0,0.26,0.0,29.4,264.95,-8.77,24.64,0.68,89.28,96753000000.0,0.43,-3.42,0.0,7630433826.0,25.49,-30.29,24001000000.0,0.0,-318.99,89357730859.6
0.0,4e4fcc9f-2bd6-40e1-8992-1c7351d8a7ff,442063444.44,451424333.33,0.52,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,54.61,171316000000.0,-9611.98,-0.12,4.98,0.0,2023-07-10T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,5.86,0.0,0.0,0.0,-88506000000.0,0.15,0.6,0.36,196643151988.5,3.84,-54416000000.0,0.0,-8.53,0.0,13.62,0.0,0.32,-2.22,0.31,58.14,638098000000.0,-3.79,-8.8,0.0,444793377038.0,12.61,159.55,764552000000.0,0.0,124.21,853950151988.5
0.0,b00d7d69-be71-4dde-88f6-7deb9392138b,358448.56,1568219.5,0.75,0.0,RUB,0.0,0.0,440.07,985.5,102.51,985.5,,0.0,0.0,449.97,223.94,0.0,0.0,2025-12-25T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,40.53,0.0,0.0,0.0,0.0,0.22,1948.8,802.2,48297856607.0,0.0,11250074000.0,0.0,0.0,0.0,62.7,4.29,0.48,0.0,2.58,356.57,18723536000.0,3.39,10.86,0.0,50237005.0,45.37,0.0,0.0,0.0,0.0,0.0
