figi,ticker,name,issue_size,currency,uid,assetUid
BBG000VKG4R5,MRKU,Россети Урал,87430485711,,1b64e38a-49ad-4f4d-a4d3-b34184899352,d2ebca50-7e7c-4255-b269-77b2ff1723e1
BBG000RMWQD4,ENPG,Эн+,638848896,,e2bd2eba-75de-4127-b39c-2f2dbe3866c3,9b9cb779-d2c7-4e49-a6c3-5be1e08d9439
TCS80A107UL4,T,Т-Технологии,268274786,,87db07bc-0e02-4e29-90bb-05e8ef791d7b,4393bdb6-9017-466e-a3bb-ddb55d24159f
BBG000PKWCQ7,MRKV,Россети Волга,188307958732,,8ec4edb6-b779-4e3c-9146-b11210174d51,457f79df-ad5b-4578-8c20-c5e066f5f1d6
BBG000BBV4M5,CNTL,Центральный Телеграф,166167000,,c05fd0a1-0c8e-4bc3-bf9e-43e364d278ef,06a5a7c2-9aa6-4397-b7a0-22ea58d05633
TCS10A108K09,VSEH,ВИ.РУ,500000000,,538a1b13-df23-4449-8302-e8adbc25daf4,3ff1e12d-21d6-41cd-9b79-55ba1cc43751
BBG004S68JR8,SVAV,СОЛЛЕРС,31486001,,c3746fd5-ac02-419a-8893-827775cfb2c8,230001ee-23df-40d3-a70c-22214e8c3298
BBG000LNHHJ9,KMAZ,КАМАЗ,707229559,,f8f1de0d-5a5f-47e9-8ecb-00bec8f8351f,a3b3c0d2-2f77-4337-90a4-51ab3f66e7b3
BBG0029SFXB3,KZOS,Казаньоргсинтез - акции обыкновенные,1785114000,,a6121478-943f-4eae-bc2a-bab5c771dd4a,2cfc56d8-7754-4727-9322-8330aabbcf63
BBG000F6YPH8,ELFV,ЭЛ5-Энерго,35371898370,,93e0d4c6-45c9-4399-9e0b-dc2f2ff101c7,24f49137-a396-4344-b793-78c199ad7b1c
TCS20A107662,HEAD,Хэдхантер,47184918,,3fe80143-1313-42eb-9884-5d68b39e265e,911552ef-a892-4b33-9df1-c0d6c4a2307d
TCS50A10C1L6,ETLN,МКПАО Эталон Груп,383445362,,b9dff600-4ca6-4fa9-ba91-df2126548ccc,f452d0ba-d2a1-4f36-bf1c-5d87c3215240
BBG00F6NKQX3,SMLT,ГК Самолет,61579358,,4d813ab1-8bc9-4670-89ea-12bfbab6017d,500bc62d-f78e-46d3-baf7-fbc9fb905ddd
BBG004730N88,SBER,Сбер Банк,21586948000,,e6123145-9665-43e0-8413-cd61b8aa9b13,40d89385-a03a-4659-bf4e-d3ecba011782
TCS00A105BN4,GECO,Генетико,90000000,,c74fc209-54e2-4ba6-a7a9-9e0d24299184,b862bb3d-bf45-4d43-9c61-ecdb480060fa
BBG004730RP0,GAZP,Газпром,23673512900,,962e2a95-02a9-4171-abd7-aa198dbe643a,bfc8184d-9562-4ea2-87dd-be6e76dc1279
BBG000QJW156,BSPB,Банк Санкт-Петербург,445368521,,1e19953d-01c6-4ecd-a5f4-53ae3ed44029,abf2fae5-7696-47c4-bc61-d622d1b5fb27
BBG000NLC9Z6,LSNG,Россети Ленэнерго,8523785320,,02bdfa7c-ae6c-4cbd-9784-f3457dfdcedc,4bf4e402-c87d-4661-a2da-0b4f2feaf60b
BBG00QKJSX05,RENI,Ренессанс Страхование,556952780,,a57d3a52-63d5-417b-b66d-c6114587f0ea,60645779-5aad-45bb-972c-38e2af07542c
TCS00A103X66,POSI,Группа Позитив,71214000,,de08affe-4fbd-454e-9fd1-46a81b23f870,41100a03-cb85-4496-8b74-957b2bdcd132
BBG000NLB2G3,KROT,Красный Октябрь,9217583,,14d147b9-d977-438a-80c0-441e5589da30,bbe14e08-b318-49b3-8f3b-f0eea166a166
BBG004S684M6,SIBN,Газпром нефть,4741299639,,9ba367af-dfbd-4d9c-8730-4b1d5a47756e,033d81b1-1249-4a4b-80bd-fad02790d92b
BBG000DBD6F6,KLSB,Калужская сбытовая компания,91487347,,8a23dd3b-04bb-41f3-a531-1bc3c08deecf,b272081b-48e2-4f7d-9465-f6a997475166
BBG000RP8V70,CHMK,ЧМК,3161965,,b5e26096-d013-48e4-b2a9-2f38b6090feb,f52b028c-d9ab-476f-b4c8-4cb00b776cf0
BBG000TJ6F42,MRKZ,Россети Северо-Запад,95785923138,,05dbfebd-6bc4-4645-8f21-dcf05476999d,55d43825-dcac-4914-bfdb-e20c110f68bf
BBG000K3STR7,APTK,"Аптечная сеть 36,6",7630433826,,bba7a33f-48a8-4788-8469-3a9f5d668e0a,ed09a805-4a20-49d7-9818-d7fe0e84076c
BBG00475K2X9,HYDR,РусГидро,444793377038,,62560f05-3fd0-4d65-88f0-a27f249cc6de,4e4fcc9f-2bd6-40e1-8992-1c7351d8a7ff
BBG003LYCMB1,SFIN,ЭсЭфАй,50237005,,55371b1f-8f7c-4c12-9d93-386fae5ec12a,b00d7d69-be71-4dde-88f6-7deb9392138b
BBG004S68696,RASP,Распадская,665733918,,435107a9-a262-4a31-8a9b-2ee6f81c1184,df9a9da8-0a95-41ca-9d03-82de3fcf872c
TCS00A10CTQ0,BAZA,ГК БАЗИС,165000000,,6eeb0c40-1a7f-4b57-aeee-a3dbb3846b80,14b910c1-8d9e-4af2-b104-bc77eedfe96d
BBG004731489,GMKN,Норильский никель,15286339700,,509edd0c-129c-4ee2-934d-7f6246126da1,ba7b5a1b-8515-4134-8c26-b69a2372fe82
BBG004S686W0,UPRO,Юнипро,63048706145,,664921c5-b552-47a6-9ced-8735a3c6ca8a,c99b9966-e777-42a1-9caf-bf22842a2490
BBG004S687W8,MSNG,Мосэнерго,39749359700,,98fc1318-6990-4147-b0d1-b10999326461,e442ca19-a0d0-4bab-92c3-4a0f75d4e878
BBG004S68614,AFKS,АФК Система,9650000000,,53b67587-96eb-4b41-8e0c-d2e3c0bdd234,460475ed-a5fc-48cd-a4e8-9f848657ba73
BBG000R607Y3,PLZL,Полюс,1360694001,,10620843-28ce-44e8-80c2-f26ceb1bd3e1,6d9a99d0-73e5-4971-84d6-b90729f2400d
TCS00A0ZZFS9,LEAS,Европлан,120000000,,ab29b599-4cb4-4b57-9c17-02b140708bf7,f68ac807-85e4-45e4-af38-bd7c79f59be5
TCS80A10CW95,OZON,МКПАО Озон,216413733,,75e003c2-ca14-4980-8d7b-e82ec6b6ffe1,35695f29-6d3c-4cba-9963-4508ddf98325
TCS10A0JR514,LIFE,Фармсинтез,440394854,,40ca6061-9acc-40ec-9571-4c41b10730d9,6136c755-4f07-4bea-b406-e023d8e0c9af
TCS00A108ZR8,DATA,Группа Аренадата,209160464,,0b9afb23-280f-4fda-a7ad-816994959c6b,4cda1996-5fa5-4c56-9442-958e2eb20afc
BBG000FWGSZ5,IRKT,Яковлев,12051279624,,cfb50a23-2465-497e-bc7e-e4f0e042cf3d,6faba6f9-1ba7-4c3b-92ad-a0ec9ddf1303
BBG000RJL816,TTLK,Таттелеком,20843976400,,76721c1c-52a9-4b45-987e-d075f651f1b1,a2543193-689c-4922-bcec-21cde6e74188
